Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,doner_id,donor_id
SRR3985841,OTHER,152,43970712,PRJNA299657,SAMN05462948,16468643,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987861,GSM2254920,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254920,Blast,SRP065190,SU353,
SRR3985842,OTHER,152,34156528,PRJNA299657,SAMN05462947,10222098,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987862,GSM2254921,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254921,Blast,SRP065190,SU353,
SRR3985843,OTHER,152,54303064,PRJNA299657,SAMN05462946,18197791,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987863,GSM2254922,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254922,Blast,SRP065190,SU353,
SRR3985844,OTHER,152,42919176,PRJNA299657,SAMN05462945,13855253,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987864,GSM2254923,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254923,Blast,SRP065190,SU353,
SRR3985845,OTHER,152,51081728,PRJNA299657,SAMN05462944,16972239,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987865,GSM2254924,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254924,Blast,SRP065190,SU353,
SRR3985846,OTHER,152,46165440,PRJNA299657,SAMN05462943,15139148,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987866,GSM2254925,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254925,Blast,SRP065190,SU353,
SRR3985847,OTHER,152,56749656,PRJNA299657,SAMN05462942,21818382,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987867,GSM2254926,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254926,Blast,SRP065190,SU353,
SRR3985848,OTHER,152,38012312,PRJNA299657,SAMN05462941,10600434,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987868,GSM2254927,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254927,Blast,SRP065190,SU353,
SRR3985849,OTHER,152,42918872,PRJNA299657,SAMN05462940,12696101,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987869,GSM2254928,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254928,Blast,SRP065190,SU353,
SRR3985850,OTHER,152,78205520,PRJNA299657,SAMN05462939,30021974,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987870,GSM2254929,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254929,Blast,SRP065190,SU353,
SRR3985851,OTHER,152,46279136,PRJNA299657,SAMN05462938,14360764,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987871,GSM2254930,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254930,Blast,SRP065190,SU353,
SRR3985852,OTHER,152,35778064,PRJNA299657,SAMN05462937,11093066,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987872,GSM2254931,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254931,Blast,SRP065190,SU353,
SRR3985853,OTHER,152,45979088,PRJNA299657,SAMN05462936,16559611,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987873,GSM2254932,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254932,Blast,SRP065190,SU353,
SRR3985854,OTHER,152,30782432,PRJNA299657,SAMN05462935,8686785,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987874,GSM2254933,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254933,Blast,SRP065190,SU353,
SRR3985855,OTHER,152,51562352,PRJNA299657,SAMN05462934,16411466,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987875,GSM2254934,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254934,Blast,SRP065190,SU353,
SRR3985856,OTHER,152,42781768,PRJNA299657,SAMN05462933,14219038,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987876,GSM2254935,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254935,Blast,SRP065190,SU353,
SRR3985857,OTHER,152,46266216,PRJNA299657,SAMN05462842,14812837,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987877,GSM2254936,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254936,Blast,SRP065190,SU353,
SRR3985858,OTHER,152,45938960,PRJNA299657,SAMN05462841,15206718,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987878,GSM2254937,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254937,Blast,SRP065190,SU353,
SRR3985859,OTHER,152,51597616,PRJNA299657,SAMN05462840,19489523,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987879,GSM2254938,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254938,Blast,SRP065190,SU353,
SRR3985860,OTHER,152,41162512,PRJNA299657,SAMN05462839,12710152,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987880,GSM2254939,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254939,Blast,SRP065190,SU353,
SRR3985861,OTHER,152,43846984,PRJNA299657,SAMN05462838,13068667,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987881,GSM2254940,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254940,Blast,SRP065190,SU353,
SRR3985862,OTHER,152,59624888,PRJNA299657,SAMN05462837,21501203,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987882,GSM2254941,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254941,Blast,SRP065190,SU353,
SRR3985863,OTHER,152,52059544,PRJNA299657,SAMN05462836,17025344,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987883,GSM2254942,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254942,Blast,SRP065190,SU353,
SRR3985864,OTHER,152,44739224,PRJNA299657,SAMN05462835,15331238,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987884,GSM2254943,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254943,Blast,SRP065190,SU353,
SRR3985865,OTHER,152,61381248,PRJNA299657,SAMN05463111,23734805,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987885,GSM2254944,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254944,Blast,SRP065190,SU353,
SRR3985866,OTHER,152,38600248,PRJNA299657,SAMN05463110,10984908,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987886,GSM2254945,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254945,Blast,SRP065190,SU353,
SRR3985867,OTHER,152,50153464,PRJNA299657,SAMN05463109,16476977,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987887,GSM2254946,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254946,Blast,SRP065190,SU353,
SRR3985868,OTHER,152,34852232,PRJNA299657,SAMN05463108,10672960,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987888,GSM2254947,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254947,Blast,SRP065190,SU353,
SRR3985869,OTHER,152,39011408,PRJNA299657,SAMN05463107,11740517,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987889,GSM2254948,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254948,Blast,SRP065190,SU353,
SRR3985870,OTHER,152,48362600,PRJNA299657,SAMN05463106,16159618,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987890,GSM2254949,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254949,Blast,SRP065190,SU353,
SRR3985871,OTHER,152,38880992,PRJNA299657,SAMN05463105,12851035,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987891,GSM2254950,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254950,Blast,SRP065190,SU353,
SRR3985872,OTHER,152,40069480,PRJNA299657,SAMN05463104,11415011,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987892,GSM2254951,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254951,Blast,SRP065190,SU353,
SRR3985873,OTHER,152,41024800,PRJNA299657,SAMN05463103,12331833,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987893,GSM2254952,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254952,Blast,SRP065190,SU353,
SRR3985874,OTHER,152,53293480,PRJNA299657,SAMN05463102,19094505,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987894,GSM2254953,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254953,Blast,SRP065190,SU353,
SRR3985875,OTHER,152,45314848,PRJNA299657,SAMN05463101,14268708,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987895,GSM2254954,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254954,Blast,SRP065190,SU353,
SRR3985876,OTHER,152,46555320,PRJNA299657,SAMN05463100,15920536,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987896,GSM2254955,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254955,Blast,SRP065190,SU353,
SRR3985877,OTHER,152,42770064,PRJNA299657,SAMN05463099,15796628,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987897,GSM2254956,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254956,Blast,SRP065190,SU353,
SRR3985878,OTHER,152,40167824,PRJNA299657,SAMN05463098,12079711,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987898,GSM2254957,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254957,Blast,SRP065190,SU353,
SRR3985879,OTHER,152,58599648,PRJNA299657,SAMN05463097,20161462,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987899,GSM2254958,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254958,Blast,SRP065190,SU353,
SRR3985880,OTHER,152,40281824,PRJNA299657,SAMN05463096,12679364,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987900,GSM2254959,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254959,Blast,SRP065190,SU353,
SRR3985881,OTHER,152,48596528,PRJNA299657,SAMN05463095,15557744,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987901,GSM2254960,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254960,Blast,SRP065190,SU353,
SRR3985882,OTHER,152,38308712,PRJNA299657,SAMN05463094,11386793,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987902,GSM2254961,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254961,Blast,SRP065190,SU353,
SRR3985883,OTHER,152,42927536,PRJNA299657,SAMN05463093,15139246,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987903,GSM2254962,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254962,Blast,SRP065190,SU353,
SRR3985884,OTHER,152,55104864,PRJNA299657,SAMN05463092,18452692,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987904,GSM2254963,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254963,Blast,SRP065190,SU353,
SRR3985885,OTHER,152,44168008,PRJNA299657,SAMN05462717,13545364,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987905,GSM2254964,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254964,Blast,SRP065190,SU353,
SRR3985886,OTHER,152,62426552,PRJNA299657,SAMN05462834,23149347,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987906,GSM2254965,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254965,Blast,SRP065190,SU353,
SRR3985887,OTHER,152,47837440,PRJNA299657,SAMN05463091,15148151,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987907,GSM2254966,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254966,Blast,SRP065190,SU353,
SRR3985888,OTHER,152,45934552,PRJNA299657,SAMN05463090,16146884,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987908,GSM2254967,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254967,Blast,SRP065190,SU353,
SRR3985890,OTHER,152,45924824,PRJNA299657,SAMN05462720,16653119,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987909,GSM2254968,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254968,Blast,SRP065190,SU353,
SRR3985891,OTHER,152,41102168,PRJNA299657,SAMN05462719,11445169,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987910,GSM2254969,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254969,Blast,SRP065190,SU353,
SRR3985892,OTHER,152,61746656,PRJNA299657,SAMN05462718,21181180,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987911,GSM2254970,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254970,Blast,SRP065190,SU353,
SRR3985893,OTHER,152,64173184,PRJNA299657,SAMN05462833,23492816,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987912,GSM2254971,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254971,Blast,SRP065190,SU353,
SRR3985894,OTHER,152,48104352,PRJNA299657,SAMN05462832,15724349,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987913,GSM2254972,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254972,Blast,SRP065190,SU353,
SRR3985895,OTHER,152,64689984,PRJNA299657,SAMN05462831,23018797,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987914,GSM2254973,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254973,Blast,SRP065190,SU353,
SRR3985896,OTHER,152,44017528,PRJNA299657,SAMN05462830,14828647,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987915,GSM2254974,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254974,Blast,SRP065190,SU353,
SRR3985897,OTHER,152,42368176,PRJNA299657,SAMN05462829,11868740,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987916,GSM2254975,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254975,Blast,SRP065190,SU353,
SRR3985898,OTHER,152,41786928,PRJNA299657,SAMN05462828,12461266,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987917,GSM2254976,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254976,Blast,SRP065190,SU353,
SRR3985899,OTHER,152,37000904,PRJNA299657,SAMN05462827,11454757,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987918,GSM2254977,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254977,Blast,SRP065190,SU353,
SRR3985900,OTHER,152,58317232,PRJNA299657,SAMN05462825,19889010,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987919,GSM2254978,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254978,Blast,SRP065190,SU353,
SRR3985901,OTHER,152,40133472,PRJNA299657,SAMN05462823,12745439,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987920,GSM2254979,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254979,Blast,SRP065190,SU353,
SRR3985902,OTHER,152,82719616,PRJNA299657,SAMN05462821,33035790,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987921,GSM2254980,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254980,Blast,SRP065190,SU353,
